DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,BRNL, EQ,39.25,39.2,40.7,39.2, 40.30,40.35,40.17,55855,22.44,587, 34786, 62.28
2023-01-03,BRNL, EQ,40.35,40.4,41.4,40.1, 40.80,40.6,40.68,63194,25.71,566, 30638, 48.48
2023-01-04,BRNL, EQ,40.6,40.85,40.9,39.2, 39.40,39.7,39.78,44550,17.72,461, 29308, 65.79
2023-01-05,BRNL, EQ,39.7,39.7,40.9,39.1,40.3,40.05,40.29,69332,27.93,585, 42016, 60.60
2023-01-06,BRNL, EQ,40.05,40.4,40.4,37.45,38.7,38.7,38.84,89238,34.66,723, 48624, 54.49
2023-01-09,BRNL, EQ,38.7,39.1,39.45,37.5,37.7,37.65,38.24,142156,54.36,987, 84918, 59.74
2023-01-10,BRNL, EQ,37.65,37.8,39.1,37.6,37.75,37.9,38.27,94387,36.12,589, 57414, 60.83
2023-01-11,BRNL, EQ,37.9,38.3,39.05,37.9, 38.90,38.55,38.58,91319,35.23,655, 45934, 50.30
2023-01-12,BRNL, EQ,38.55,39.35,39.35,37.6, 38.00,37.95,38.21,38282,14.63,492, 23207, 60.62
2023-01-13,BRNL, EQ,37.95,37.95,39.45,37.6,37.9,37.8,38.4,71693,27.53,483, 40446, 56.42
2023-01-16,BRNL, EQ,37.8,38.5,39.0,37.0, 37.45,37.05,37.71,80854,30.49,552, 61031, 75.48
2023-01-17,BRNL, EQ,37.05,37.1,37.75,36.4,36.4,36.65,36.88,78637,29.0,730, 46887, 59.62
2023-01-18,BRNL, EQ,36.65,36.65,37.75,36.65,36.85,37.0,37.21,33410,12.43,352, 20669, 61.86
2023-01-19,BRNL, EQ,37.0,37.05,37.35,36.25, 37.35,36.7,36.72,48868,17.95,467, 25879, 52.96
2023-01-20,BRNL, EQ,36.7,37.0,39.15,36.7,37.55,37.5,37.93,169827,64.42,887, 45976, 27.07
2023-01-23,BRNL, EQ,37.5,37.5,38.4,37.15,38.0,37.55,37.79,42042,15.89,549, 22444, 53.38
2023-01-24,BRNL, EQ,37.55,38.0,38.95,37.05,37.05,37.15,37.6,34048,12.8,337, 24252, 71.23
2023-01-25,BRNL, EQ,37.15,37.5,37.6,36.05, 36.30,36.25,36.55,43158,15.78,449, 27473, 63.66
2023-01-27,BRNL, EQ,36.25,36.5,36.5,35.0, 35.65,35.65,35.34,46032,16.27,443, 36087, 78.40
2023-01-30,BRNL, EQ,35.65,35.65,36.05,35.05, 35.10,35.5,35.66,47891,17.08,392, 25017, 52.24
2023-01-31,BRNL, EQ,35.5,35.5,36.2,34.2,36.05,35.05,34.83,103557,36.07,931, 60189, 58.12
2023-02-01,BRNL, EQ,35.05,35.8,36.7,34.5, 34.55,34.65,35.47,82043,29.1,479, 46090, 56.18
2023-02-02,BRNL, EQ,34.65,34.25,36.2,34.25, 34.50,34.6,34.78,63678,22.15,363, 38151, 59.91
2023-02-03,BRNL, EQ,34.6,34.95,35.75,34.0, 34.80,34.85,34.53,34941,12.07,323, 18540, 53.06
2023-02-06,BRNL, EQ,34.85,35.2,35.2,33.75, 34.05,33.95,34.12,112283,38.31,545, 84704, 75.44
2023-02-07,BRNL, EQ,33.95,34.25,34.6,32.2, 33.35,33.0,33.53,65314,21.9,577, 36587, 56.02
2023-02-08,BRNL, EQ,33.0,33.45,33.8,33.1, 33.45,33.4,33.42,24382,8.15,241, 15815, 64.86
2023-02-09,BRNL, EQ,33.4,33.4,33.7,32.7, 32.95,32.9,32.99,43642,14.4,420, 30222, 69.25
2023-02-10,BRNL, EQ,32.9,32.75,33.1,32.4, 32.70,32.85,32.83,32171,10.56,374, 20700, 64.34
2023-02-13,BRNL, EQ,32.85,32.75,33.1,31.9,32.0,32.1,32.43,34741,11.27,358, 25561, 73.58
2023-02-14,BRNL, EQ,32.1,32.1,32.6,31.55,31.75,31.75,31.9,24295,7.75,288, 16560, 68.16
2023-02-15,BRNL, EQ,31.75,31.8,32.4,31.0, 31.15,31.15,31.59,46184,14.59,410, 28042, 60.72
2023-02-16,BRNL, EQ,31.15,31.4,32.6,31.15, 31.90,31.9,32.04,32902,10.54,346, 24370, 74.07
2023-02-17,BRNL, EQ,31.9,32.0,32.2,31.25, 31.30,31.4,31.58,32983,10.42,280, 20625, 62.53
2023-02-20,BRNL, EQ,31.4,31.5,31.75,30.65, 30.90,30.95,31.04,33749,10.47,389, 18651, 55.26
2023-02-21,BRNL, EQ,30.95,31.05,31.75,30.75, 31.15,31.1,31.32,15686,4.91,235, 9103, 58.03
2023-02-22,BRNL, EQ,31.1,31.0,31.4,30.05, 30.20,30.25,30.48,33064,10.08,383, 18645, 56.39
2023-02-23,BRNL, EQ,30.25,30.2,30.6,29.75,29.9,29.85,30.04,18350,5.51,296, 9991, 54.45
2023-02-24,BRNL, EQ,29.85,30.0,31.9,30.0, 30.20,30.2,30.44,46394,14.12,332, 31894, 68.75
2023-02-27,BRNL, EQ,30.2,30.3,30.85,29.25, 29.30,29.35,29.66,25903,7.68,354, 15314, 59.12
2023-02-28,BRNL, EQ,29.35,29.35,29.6,29.0, 29.45,29.15,29.3,13105,3.84,177, 9382, 71.59
2023-03-01,BRNL, EQ,29.15,29.15,30.65,29.15, 30.15,30.15,30.19,20486,6.18,249, 11326, 55.29
2023-03-02,BRNL, EQ,30.15,31.3,31.3,30.1, 30.20,30.25,30.33,13928,4.22,202, 9112, 65.42
2023-03-03,BRNL, EQ,30.25,30.25,31.85,30.25, 30.90,31.2,31.16,42544,13.26,479, 25294, 59.45
2023-03-06,BRNL, EQ,31.2,31.95,31.95,30.15, 30.20,30.5,31.02,40297,12.5,435, 21679, 53.80
2023-03-08,BRNL, EQ,30.5,30.85,31.35,30.05, 30.50,30.55,30.78,30274,9.32,298, 22034, 72.78
2023-03-09,BRNL, EQ,30.55,30.9,31.35,30.6, 31.25,31.05,31.03,17667,5.48,241, 9198, 52.06
2023-03-10,BRNL, EQ,31.05,31.05,31.1,29.1, 29.90,29.8,30.31,43912,13.31,410, 31998, 72.87
2023-03-13,BRNL, EQ,29.8,30.4,30.4,29.0, 29.50,29.4,29.64,35142,10.42,340, 22307, 63.48
2023-03-14,BRNL, EQ,29.4,29.2,30.0,27.1, 28.10,28.35,28.56,60274,17.21,654, 35999, 59.73
2023-03-15,BRNL, EQ,28.35,29.0,29.6,28.05, 28.05,28.35,28.81,19634,5.66,229, 8802, 44.83
2023-03-16,BRNL, EQ,28.35,28.95,28.95,26.25, 27.05,26.9,27.21,83678,22.77,1853, 57667, 68.92
2023-03-17,BRNL, EQ,26.9,27.45,28.0,27.25, 27.80,27.75,27.56,19241,5.3,251, 14038, 72.96
2023-03-20,BRNL, EQ,27.75,23.0,29.2,23.0,27.3,27.1,27.4,23213,6.36,387, 15439, 66.51
2023-03-21,BRNL, EQ,27.1,28.4,28.4,27.0, 27.45,27.7,27.63,32383,8.95,405, 17962, 55.47
2023-03-22,BRNL, EQ,27.7,27.7,29.0,27.7, 28.80,28.5,28.5,28307,8.07,410, 17506, 61.84
2023-03-23,BRNL, EQ,28.5,28.15,28.55,27.5, 28.00,28.1,28.18,26090,7.35,360, 17095, 65.52
2023-03-24,BRNL, EQ,28.1,28.1,28.8,27.2, 27.20,27.35,27.78,14813,4.12,272, 8612, 58.14
2023-03-27,BRNL, EQ,27.35,27.0,27.95,26.0, 26.40,26.3,26.54,32783,8.7,511, 19034, 58.06
2023-03-28,BRNL, EQ,26.3,26.05,26.95,25.7, 25.95,25.85,26.14,27304,7.14,434, 18531, 67.87
2023-03-29,BRNL, EQ,25.85,26.0,26.7,25.5, 25.60,26.0,26.02,31695,8.25,456, 22674, 71.54
2023-03-31,BRNL, EQ,26.0,26.5,27.3,26.1, 26.15,26.25,26.62,26949,7.17,390, 13659, 50.68
2023-04-03,BRNL, EQ,26.25,26.95,27.2,26.35, 27.10,26.9,26.87,24773,6.66,279, 12795, 51.65
2023-04-05,BRNL, EQ,26.9,27.4,28.9,26.9, 28.65,28.45,28.18,40627,11.45,509, 23675, 58.27
2023-04-06,BRNL, EQ,28.45,29.0,29.25,28.2, 28.30,28.4,28.76,24193,6.96,366, 12029, 49.72
2023-04-10,BRNL, EQ,28.4,29.0,29.0,28.0, 28.50,28.25,28.39,16049,4.56,201, 11537, 71.89
2023-04-11,BRNL, EQ,28.25,28.9,29.0,27.6, 28.10,28.4,28.56,18736,5.35,284, 12132, 64.75
2023-04-12,BRNL, EQ,28.4,28.9,28.9,28.4, 28.40,28.5,28.61,14891,4.26,241, 9779, 65.67
2023-04-13,BRNL, EQ,28.5,28.0,28.95,28.0, 28.45,28.55,28.64,11250,3.22,177, 8455, 75.16
2023-04-17,BRNL, EQ,28.55,29.1,29.15,27.7, 28.00,28.15,28.46,20000,5.69,316, 12113, 60.57
2023-04-18,BRNL, EQ,28.15,28.6,28.9,28.25, 28.85,28.75,28.67,7700,2.21,181, 5145, 66.82
2023-04-19,BRNL, EQ,28.75,29.25,29.25,28.1, 28.65,28.55,28.95,13857,4.01,276, 8795, 63.47
2023-04-20,BRNL, EQ,28.55,28.75,31.35,28.25, 29.70,29.7,30.5,121177,36.96,1352, 47375, 39.10
2023-04-21,BRNL, EQ,29.7,29.8,30.95,29.6, 29.65,29.85,30.24,33748,10.21,367, 23856, 70.69
2023-04-24,BRNL, EQ,29.85,30.85,30.85,29.0, 29.30,29.2,29.61,29262,8.66,391, 20334, 69.49
2023-04-25,BRNL, EQ,29.2,29.25,29.9,28.05,29.0,28.8,28.76,42730,12.29,451, 23617, 55.27
2023-04-26,BRNL, EQ,28.8,28.8,30.15,28.65, 29.50,29.55,29.49,41773,12.32,455, 25740, 61.62
2023-04-27,BRNL, EQ,29.55,29.55,30.55,29.0, 29.35,29.2,29.3,28013,8.21,520, 16680, 59.54
2023-04-28,BRNL, EQ,29.2,30.0,30.5,29.25, 29.65,29.85,30.0,43701,13.11,504, 27288, 62.44
2023-05-02,BRNL, EQ,29.85,30.4,30.55,29.65, 29.90,29.8,29.98,37255,11.17,440, 22702, 60.94
2023-05-03,BRNL, EQ,29.8,29.75,30.35,29.0,30.05,29.9,29.9,24210,7.24,405, 15991, 66.05
2023-05-04,BRNL, EQ,29.9,29.6,32.4,29.6, 31.45,31.3,31.17,90820,28.31,1055, 45557, 50.16
2023-05-05,BRNL, EQ,31.3,32.0,32.05,31.0, 31.40,31.2,31.47,32760,10.31,412, 18458, 56.34
2023-05-08,BRNL, EQ,31.2,31.5,31.9,30.8, 30.80,31.0,31.38,30130,9.46,399, 21541, 71.49
2023-05-09,BRNL, EQ,31.0,31.55,31.95,30.7,31.15,30.95,31.28,18983,5.94,299, 10863, 57.22
2023-05-10,BRNL, EQ,30.95,30.6,31.35,30.5,30.8,30.95,30.86,15299,4.72,190, 9356, 61.15
2023-05-11,BRNL, EQ,30.95,32.0,32.0,30.65, 31.40,31.15,31.15,28639,8.92,445, 10751, 37.54
2023-05-12,BRNL, EQ,31.15,31.65,31.65,30.5, 30.50,30.6,30.68,11505,3.53,218, 8392, 72.94
2023-05-15,BRNL, EQ,30.6,31.3,31.45,30.35, 31.15,30.9,30.97,22042,6.83,298, 13959, 63.33
2023-05-16,BRNL, EQ,30.9,31.45,31.45,30.1,30.1,30.4,30.74,28349,8.72,343, 18773, 66.22
2023-05-17,BRNL, EQ,30.4,30.5,31.2,29.5, 29.50,29.85,30.17,29269,8.83,364, 19772, 67.55
2023-05-18,BRNL, EQ,29.85,29.5,30.15,29.2, 29.40,29.3,29.56,29899,8.84,395, 20730, 69.33
2023-05-19,BRNL, EQ,29.3,29.55,33.55,29.2,31.8,31.6,32.17,358281,115.26,2631, 106458, 29.71
2023-05-22,BRNL, EQ,31.6,31.5,33.0,31.05,31.6,31.55,31.59,58055,18.34,552, 33100, 57.01
2023-05-23,BRNL, EQ,31.55,31.2,32.0,31.05, 31.60,31.35,31.4,36324,11.41,516, 20281, 55.83
2023-05-24,BRNL, EQ,31.35,31.8,31.8,30.9, 31.65,31.4,31.35,19053,5.97,368, 12205, 64.06
2023-05-25,BRNL, EQ,31.4,31.7,31.7,31.1, 31.10,31.35,31.36,23718,7.44,241, 13833, 58.32
2023-05-26,BRNL, EQ,31.35,31.35,31.4,30.5,30.95,30.8,30.85,47522,14.66,340, 28061, 59.05
2023-05-29,BRNL, EQ,30.8,30.8,30.8,30.2, 30.45,30.35,30.41,22911,6.97,219, 13306, 58.08
2023-05-30,BRNL, EQ,30.35,30.45,31.15,30.3, 30.30,30.45,30.53,31094,9.49,247, 20627, 66.34
2023-05-31,BRNL, EQ,30.45,31.0,31.0,30.1, 30.10,30.1,30.28,21511,6.51,246, 18553, 86.25
2023-06-01,BRNL, EQ,30.1,30.75,31.0,30.1, 30.10,30.2,30.51,21210,6.47,319, 13209, 62.28
2023-06-02,BRNL, EQ,30.2,30.75,30.75,30.1, 30.10,30.3,30.4,18995,5.78,253, 13188, 69.43
2023-06-05,BRNL, EQ,30.3,30.65,30.65,30.1, 30.35,30.3,30.33,26518,8.04,259, 20888, 78.77
2023-06-06,BRNL, EQ,30.3,30.6,30.6,30.25,30.45,30.4,30.41,17472,5.31,223, 15088, 86.36
2023-06-07,BRNL, EQ,30.4,30.55,35.4,30.2, 33.60,33.9,34.02,765483,260.45,4205, 262974, 34.35
2023-06-08,BRNL, EQ,33.9,34.2,34.7,31.8, 32.10,32.0,32.77,299648,98.21,2659, 184320, 61.51
2023-06-09,BRNL, EQ,32.0,32.3,32.5,31.2, 31.40,31.45,31.78,75070,23.86,761, 54459, 72.54
2023-06-12,BRNL, EQ,31.45,32.05,32.5,31.5, 31.90,32.05,31.95,56845,18.16,580, 29324, 51.59
2023-06-13,BRNL, EQ,32.05,32.3,32.65,31.65, 31.80,31.85,31.97,68884,22.02,700, 40351, 58.58
2023-06-14,BRNL, EQ,31.85,32.0,32.7,31.65, 32.00,31.85,32.13,87545,28.13,615, 41485, 47.39
2023-06-15,BRNL, EQ,31.85,32.35,32.35,31.75, 32.20,32.05,32.06,40758,13.07,306, 31075, 76.24
2023-06-16,BRNL, EQ,32.05,32.0,32.55,31.6, 31.80,31.7,32.0,44352,14.19,558, 28092, 63.34
2023-06-19,BRNL, EQ,31.7,32.25,32.25,31.65, 31.65,31.85,31.95,37966,12.13,450, 19532, 51.45
2023-06-20,BRNL, EQ,31.85,31.5,31.85,31.15, 31.60,31.6,31.53,45383,14.31,532, 30413, 67.01
2023-06-21,BRNL, EQ,31.6,31.2,32.45,31.2, 31.80,31.75,31.88,45918,14.64,498, 22883, 49.83
2023-06-22,BRNL, EQ,31.75,32.2,32.2,31.2,31.2,31.6,31.66,44458,14.08,356, 31530, 70.92
2023-06-23,BRNL, EQ,31.6,31.3,32.0,31.2, 31.35,31.35,31.5,50053,15.77,292, 34564, 69.05
2023-06-26,BRNL, EQ,31.35,31.75,34.1,31.4, 32.55,32.75,33.19,233831,77.61,1781, 127630, 54.58
2023-06-27,BRNL, EQ,32.75,32.75,33.05,31.85, 32.10,31.95,32.27,41205,13.3,535, 27966, 67.87
2023-06-28,BRNL, EQ,31.95,32.15,32.4,30.05, 31.15,30.9,30.89,157568,48.67,1090, 83767, 53.16
2023-06-30,BRNL, EQ,30.9,31.65,31.8,30.75, 30.90,31.05,31.21,59126,18.45,740, 37262, 63.02
2023-07-03,BRNL, EQ,31.05,31.5,31.75,31.05, 31.10,31.2,31.41,31261,9.82,361, 21476, 68.70
2023-07-04,BRNL, EQ,31.2,31.5,31.5,31.0, 31.00,31.05,31.18,28198,8.79,344, 19900, 70.57
2023-07-05,BRNL, EQ,31.05,30.9,32.35,30.0,30.7,30.8,31.1,115915,36.04,839, 65224, 56.27
2023-07-06,BRNL, EQ,30.8,31.35,31.45,30.8,31.15,31.2,31.1,51233,15.93,433, 35358, 69.01
2023-07-07,BRNL, EQ,31.2,31.5,31.5,30.25, 30.75,30.9,31.0,57036,17.68,511, 35833, 62.83
2023-07-10,BRNL, EQ,30.9,31.4,31.45,30.5,30.7,30.65,30.85,44200,13.63,396, 30863, 69.83
2023-07-11,BRNL, EQ,30.65,30.7,31.4,30.55, 31.00,30.7,30.88,31156,9.62,323, 19729, 63.32
2023-07-12,BRNL, EQ,30.7,30.7,31.0,30.4, 30.65,30.55,30.68,31730,9.74,426, 22061, 69.53
2023-07-13,BRNL, EQ,30.55,30.7,31.5,30.25, 30.30,30.4,30.62,44184,13.53,500, 26224, 59.35
2023-07-14,BRNL, EQ,30.4,30.4,30.9,30.2,30.55,30.6,30.54,35756,10.92,392, 21943, 61.37
2023-07-17,BRNL, EQ,30.6,30.6,31.0,30.1,30.4,30.5,30.53,45662,13.94,655, 26181, 57.34
2023-07-18,BRNL, EQ,30.5,30.5,30.85,29.95, 30.00,30.2,30.26,57884,17.51,536, 43276, 74.76
2023-07-19,BRNL, EQ,30.2,30.65,30.85,30.2, 30.45,30.4,30.54,15997,4.89,277, 11002, 68.78
